etf_id,backtest_start,backtest_end,total_return,cagr,max_drawdown,sharpe_ratio
00928.TWO,2023-05-17,2025-07-04,0.11651798860963858,0.052997784853723306,-0.3544669246021762,0.3540390852785589
00878.TW,2020-07-10,2025-07-04,0.8911262251687695,0.13630821825825712,-0.22287688220659052,0.9855130025841248
00905.TW,2022-04-13,2025-07-04,0.5711422780225015,0.15026214576162156,-0.3108141879655917,0.8096252674128589
0051.TW,2015-01-05,2025-07-04,2.5069449347622035,0.12691516958244708,-0.31300245825856465,0.7621165485980933
00921.TW,2023-01-04,2025-07-04,0.31396730978046805,0.11547496987134154,-0.2587934768295578,0.7855209197475952
00850.TW,2019-08-15,2025-07-04,1.7734652697879367,0.18907934677231686,-0.28045464442660484,1.0571233126567794
009804.TW,2025-03-31,2025-07-04,0.1718280993033121,0.8390027659427872,-0.03760072277755011,4.264175344491125
009808.TW,2025-05-16,2025-07-04,0.049399248825478415,0.4321457279792926,-0.02740640684268969,2.7401536846001915
00891.TW,2021-05-20,2025-07-04,0.4368843578409567,0.0918258238610008,-0.4587973160620583,0.49780952192155337
00929.TW,2023-06-01,2025-07-04,0.3179691731206895,0.14099719661289067,-0.27846208668853656,0.8500897001247151
00946.TW,2024-05-09,2025-07-04,-0.048044111773285936,-0.04178902152604047,-0.29561018261273253,-0.08323377819580127
00730.TW,2018-01-30,2025-07-04,0.6898064997057871,0.07315857427950667,-0.3109725929060305,0.5492939813686756
00913.TW,2022-08-01,2025-07-04,0.5098748135729116,0.15121094378483946,-0.33082359148410667,0.7263693372283961
0055.TW,2015-01-05,2025-07-04,1.8151602232607376,0.10358105483133362,-0.3243201640980231,0.7505224413071192
00962.TW,2024-11-27,2025-07-04,-0.05511014652184065,-0.09015242400996115,-0.3205882394190065,-0.16914955789363406
00901.TW,2021-12-06,2025-07-04,0.5424822862176457,0.12876530130974384,-0.3301886702314615,0.66597856208778
00927.TW,2023-06-06,2025-07-04,0.3608545684737807,0.15971028162532597,-0.329119127713962,0.8128922354827953
00939.TW,2024-03-11,2025-07-04,-0.034378146048253844,-0.026250931801658384,-0.18085639994429226,-0.05669538794645263
00888.TWO,2021-03-23,2025-07-04,0.33750730527713735,0.07022351260904469,-0.30012090117648593,0.4612006113510014
00944.TW,2024-05-09,2025-07-04,-0.007377283992169192,-0.006399129530134773,-0.20116545670171382,0.06412189352126713
00935.TW,2023-10-23,2025-07-04,0.547787105049089,0.293256987419785,-0.3126549217452286,1.1435261943926622
00686R.TW,2017-03-23,2025-07-04,-0.7853560634314882,-0.1694526516124868,-0.7921568700782338,-0.9499019164890344
00685L.TW,2017-03-23,2025-07-04,6.893145408221607,0.28310806758968443,-0.5480558279977024,0.89270325217504
0057.TW,2015-01-05,2025-07-04,2.70585605791394,0.13285100433874342,-0.33043897246300125,0.7871802251691584
00881.TW,2020-12-01,2025-07-04,1.0257422454727911,0.16618656955272448,-0.3343159632393796,0.8294621787605595
