Ticker,Total Return,CAGR,Max Drawdown,Sharpe Ratio
0053.TW,3.6639167748733987,0.15900016220850088,-0.34257963128352575,0.8617766846948618
00907.TW,0.21883786247873727,0.06711364139151255,-0.2027194737240665,0.516071226841536
00919.TW,0.850460102117184,0.26240966569452406,-0.23388354509984455,1.4467660709946937
00952.TW,-0.030864216305889314,-0.04032605455245497,-0.32312253141353364,-0.0007383830801664393
00923.TW,0.5546366316089646,0.21557362799803736,-0.27307826855464445,1.0859882423269722
00663L.TW,0.21293109979392066,0.021943874812761832,-0.9067707239500092,0.4740472494840247
00940.TW,-0.027735489667565894,-0.023219306965696185,-0.2629504279983804,-0.006298009870243639
00728.TW,1.2473297672658021,0.11990054838949771,-0.397671548716388,0.694810054357582
006203.TW,2.7181768270108324,0.13410237944617265,-0.33436938095533675,0.8494170243032249
00690.TW,1.6793527739642236,0.12771347045752757,-0.3145780374198359,0.8159836475124465
009802.TW,-0.03430879493673045,-0.14232065913669678,-0.22645289135336533,-0.20156632202895483
00692.TW,2.1608688304134174,0.15325256004200893,-0.30869557931706304,0.9450660637666704
00928.TWO,0.11125489222881457,0.05275123968720008,-0.3544669246021762,0.3527572617491625
00878.TW,0.8641097246637754,0.13573111692323403,-0.22287688220659085,0.9743287353035874
00905.TW,0.5197604674354297,0.14260264355914898,-0.3108141879655919,0.7691217268939987
0051.TW,2.4535990894509663,0.1261085885263027,-0.313002395729731,0.760934810745189
00921.TW,0.33353667581384827,0.12695775379168373,-0.25879340747519297,0.8412763544336365
00850.TW,1.7061724295897975,0.1871588931950321,-0.28045470572686626,1.0426718281041136
009804.TW,0.13286712220731056,1.2885023683622032,-0.03760072277755011,4.432717500675314
009808.TW,0.022029431739962968,0.3425522046137046,-0.02740640684268969,2.034944090169752
00891.TW,0.38730763436345095,0.08444019406939551,-0.45879746099426333,0.46647154093463566
00929.TW,0.32175953679030456,0.14923995773292753,-0.27846208931309413,0.8782989439205376
00946.TW,-0.06427875702893948,-0.058966283327121505,-0.2956103118049038,-0.16232568955382998
00730.TW,0.6675438167946901,0.07215329863114706,-0.31097248337117744,0.542527108911435
00913.TW,0.4636850175264766,0.143493593440295,-0.33082359148410667,0.6931377911753633
0055.TW,1.7735046027785666,0.10269027138349585,-0.3243201640980218,0.7460665517154671
00962.TW,-0.0761522354776798,-0.14395729104321564,-0.3205882394190065,-0.32905620739120023
00901.TW,0.48771961842113076,0.1206396493748132,-0.3301886927660165,0.628627638263096
00927.TW,0.33108334426050723,0.15215995350640377,-0.32911912771396235,0.7783362355771771
00939.TW,-0.03495529279383003,-0.028635713000105922,-0.18085640754045218,-0.06394494636699158
00888.TWO,0.30862841459492785,0.0661379820277479,-0.30012094947616186,0.4396241597561348
00944.TW,-0.0165096360532061,-0.015113487478144783,-0.20116545670171437,0.020419080998776772
00935.TW,0.4801859114753366,0.27615563018648537,-0.3126549217452286,1.0704286351702657
00686R.TW,-0.7793380151694471,-0.16824867387052866,-0.7862744992625382,-0.939788696352038
00685L.TW,6.4445562405389385,0.2772805387316002,-0.5480558279977024,0.8895583925473243
0057.TW,2.556959906480169,0.12929528486194397,-0.33043897246300125,0.7922728990137763
00881.TW,0.9436740233471357,0.1590949705507292,-0.334316024361911,0.7956901619255885
